item_id,description,ingredients,category
1,Delicious dish 1,Ingredient 1,dessert
2,Delicious dish 2,Ingredient 2,appetizer
3,Delicious dish 3,Ingredient 3,dessert
4,Delicious dish 4,Ingredient 4,dessert
5,Delicious dish 5,Ingredient 5,appetizer
6,Delicious dish 6,Ingredient 6,appetizer
7,Delicious dish 7,Ingredient 7,dessert
8,Delicious dish 8,Ingredient 8,main course
9,Delicious dish 9,Ingredient 9,dessert
10,Delicious dish 10,Ingredient 10,dessert
11,Delicious dish 11,Ingredient 11,dessert
12,Delicious dish 12,Ingredient 12,dessert
13,Delicious dish 13,Ingredient 13,appetizer
14,Delicious dish 14,Ingredient 14,dessert
15,Delicious dish 15,Ingredient 15,main course
16,Delicious dish 16,Ingredient 16,appetizer
17,Delicious dish 17,Ingredient 17,main course
18,Delicious dish 18,Ingredient 18,main course
19,Delicious dish 19,Ingredient 19,main course
20,Delicious dish 20,Ingredient 20,main course
21,Delicious dish 21,Ingredient 21,appetizer
22,Delicious dish 22,Ingredient 22,appetizer
23,Delicious dish 23,Ingredient 23,main course
24,Delicious dish 24,Ingredient 24,main course
25,Delicious dish 25,Ingredient 25,appetizer
26,Delicious dish 26,Ingredient 26,appetizer
27,Delicious dish 27,Ingredient 27,appetizer
28,Delicious dish 28,Ingredient 28,dessert
29,Delicious dish 29,Ingredient 29,dessert
30,Delicious dish 30,Ingredient 30,dessert
31,Delicious dish 31,Ingredient 31,main course
32,Delicious dish 32,Ingredient 32,dessert
33,Delicious dish 33,Ingredient 33,main course
34,Delicious dish 34,Ingredient 34,main course
35,Delicious dish 35,Ingredient 35,dessert
36,Delicious dish 36,Ingredient 36,main course
37,Delicious dish 37,Ingredient 37,dessert
38,Delicious dish 38,Ingredient 38,dessert
39,Delicious dish 39,Ingredient 39,appetizer
40,Delicious dish 40,Ingredient 40,dessert
41,Delicious dish 41,Ingredient 41,appetizer
42,Delicious dish 42,Ingredient 42,dessert
43,Delicious dish 43,Ingredient 43,dessert
44,Delicious dish 44,Ingredient 44,appetizer
45,Delicious dish 45,Ingredient 45,appetizer
46,Delicious dish 46,Ingredient 46,dessert
47,Delicious dish 47,Ingredient 47,main course
48,Delicious dish 48,Ingredient 48,appetizer
49,Delicious dish 49,Ingredient 49,main course
50,Delicious dish 50,Ingredient 50,main course
