customer_id,item_id,review_text,rating
52,16,This is a review for dish 49,3
93,3,This is a review for dish 13,3
15,20,This is a review for dish 23,3
72,24,This is a review for dish 25,5
61,33,This is a review for dish 35,2
21,24,This is a review for dish 41,5
83,11,This is a review for dish 30,2
87,49,This is a review for dish 17,3
75,8,This is a review for dish 49,3
75,36,This is a review for dish 20,5
88,38,This is a review for dish 48,5
100,40,This is a review for dish 25,2
24,20,This is a review for dish 22,4
3,35,This is a review for dish 13,2
22,48,This is a review for dish 19,5
53,25,This is a review for dish 49,5
2,35,This is a review for dish 36,1
88,25,This is a review for dish 12,5
30,29,This is a review for dish 41,1
38,18,This is a review for dish 19,4
2,46,This is a review for dish 12,2
64,18,This is a review for dish 9,2
60,2,This is a review for dish 7,1
21,35,This is a review for dish 28,2
33,16,This is a review for dish 14,5
76,41,This is a review for dish 31,3
58,36,This is a review for dish 19,1
22,33,This is a review for dish 47,2
89,4,This is a review for dish 16,1
49,33,This is a review for dish 5,1
91,14,This is a review for dish 35,3
59,21,This is a review for dish 12,5
42,48,This is a review for dish 25,1
92,20,This is a review for dish 21,2
60,8,This is a review for dish 36,4
80,7,This is a review for dish 23,1
15,3,This is a review for dish 16,1
62,17,This is a review for dish 39,3
62,33,This is a review for dish 45,5
47,48,This is a review for dish 42,4
62,12,This is a review for dish 39,2
51,22,This is a review for dish 14,4
55,22,This is a review for dish 31,2
64,46,This is a review for dish 5,5
3,30,This is a review for dish 35,2
51,38,This is a review for dish 23,3
7,38,This is a review for dish 29,3
21,45,This is a review for dish 43,3
73,8,This is a review for dish 11,3
39,27,This is a review for dish 18,4
18,27,This is a review for dish 47,5
4,34,This is a review for dish 12,2
89,21,This is a review for dish 9,2
60,30,This is a review for dish 10,3
14,33,This is a review for dish 44,3
9,28,This is a review for dish 17,1
90,47,This is a review for dish 38,5
53,33,This is a review for dish 7,4
2,5,This is a review for dish 46,2
84,48,This is a review for dish 13,1
92,19,This is a review for dish 40,1
60,4,This is a review for dish 42,2
71,35,This is a review for dish 9,4
44,49,This is a review for dish 50,1
8,17,This is a review for dish 27,1
47,44,This is a review for dish 2,5
35,28,This is a review for dish 5,4
78,30,This is a review for dish 29,1
81,29,This is a review for dish 37,4
36,46,This is a review for dish 38,2
50,6,This is a review for dish 19,3
4,35,This is a review for dish 8,1
2,41,This is a review for dish 48,5
6,37,This is a review for dish 45,2
54,24,This is a review for dish 1,4
4,29,This is a review for dish 22,2
54,49,This is a review for dish 17,1
93,46,This is a review for dish 7,4
63,31,This is a review for dish 25,3
18,35,This is a review for dish 45,2
90,33,This is a review for dish 4,1
44,21,This is a review for dish 36,5
34,32,This is a review for dish 6,4
74,23,This is a review for dish 31,2
62,33,This is a review for dish 19,2
100,3,This is a review for dish 44,3
14,18,This is a review for dish 39,3
95,25,This is a review for dish 27,5
48,42,This is a review for dish 10,5
15,31,This is a review for dish 26,1
72,3,This is a review for dish 19,1
78,40,This is a review for dish 39,5
87,46,This is a review for dish 3,5
62,24,This is a review for dish 45,4
40,50,This is a review for dish 13,3
85,32,This is a review for dish 50,1
80,47,This is a review for dish 28,3
82,22,This is a review for dish 20,3
53,23,This is a review for dish 28,5
24,2,This is a review for dish 8,4
26,27,This is a review for dish 41,2
89,42,This is a review for dish 39,4
60,2,This is a review for dish 1,4
41,26,This is a review for dish 3,3
29,17,This is a review for dish 13,4
15,40,This is a review for dish 28,1
45,33,This is a review for dish 49,3
